base,scenario,scenario_name,year,population,pop_0_14,pop_6_14,pop_15_64,pop_65plus,pop_80plus,women_20_39,tdr,ydr,oadr,support_ratio,growth_15_64_pct,tfr,net_migration,births_next_12m
eic2025,optimista,Optimista — ONU (variante media),2025,130905282.9668,28510126.5728,18793673.4737,89314772.1114,13080384.2827,2713215.1438,20846752.351,46.5662,31.921,14.6453,6.8281,,1.8689,-108037.0,1951154.7537
eic2025,optimista,Optimista — ONU (variante media),2026,131853751.9017,28188671.5249,18593803.6459,90037267.2722,13627813.1047,2826160.9449,20885933.0187,46.4435,31.3078,15.1357,6.6069,0.8089,1.8521,-109844.0,1936403.2779
eic2025,optimista,Optimista — ONU (variante media),2027,132771661.6945,27881219.7797,17923386.1967,90690729.0375,14199712.8773,2944122.4723,20915780.6459,46.4005,30.7432,15.6573,6.3868,0.7258,1.834,-107783.0,1920984.5889
eic2025,optimista,Optimista — ONU (variante media),2028,133659657.6954,27585877.3702,17267636.9191,91278515.0983,14795265.2269,3066793.8865,20936991.1101,46.4306,30.2217,16.2089,6.1694,0.6481,1.8186,-106582.0,1907033.5943
eic2025,optimista,Optimista — ONU (variante media),2029,134517394.5614,27295255.0077,16610577.6882,91808307.2473,15413832.3065,3193824.1187,20946713.4717,46.5199,29.7307,16.7891,5.9562,0.5804,1.8056,-107881.0,1893188.6468
eic2025,optimista,Optimista — ONU (variante media),2030,135344783.234,26965499.8395,15913816.9153,92301163.9542,16078119.4402,3316759.4317,20917450.8077,46.6339,29.2147,17.4192,5.7408,0.5368,1.7926,-106319.0,1879403.4115
eic2025,optimista,Optimista — ONU (variante media),2031,136142047.9523,26838280.109,15482739.6404,92665761.4241,16638006.4192,3476521.5051,20946415.5692,46.9173,28.9625,17.9549,5.5695,0.395,1.7832,-106707.0,1865844.6151
eic2025,optimista,Optimista — ONU (variante media),2032,136909273.4796,26735221.2081,15459356.5177,92963936.103,17210116.1684,3645632.063,20947631.5345,47.2714,28.7587,18.5127,5.4017,0.3218,1.7747,-104714.0,1851780.7082
eic2025,optimista,Optimista — ONU (variante media),2033,137646923.5937,26634377.969,15437664.9343,93216551.2132,17795994.4115,3827574.2637,20929048.588,47.6636,28.5726,19.091,5.2381,0.2717,1.767,-102589.0,1838239.5199
eic2025,optimista,Optimista — ONU (variante media),2034,138351223.9252,26523922.7938,15404733.3235,93431930.1366,18395370.9948,4027117.6368,20899397.3621,48.077,28.3885,19.6885,5.0791,0.2311,1.7611,-108562.0,1827458.2313
eic2025,optimista,Optimista — ONU (variante media),2035,139025957.445,26287591.324,15242982.0265,93759054.419,18979311.7019,4244715.4338,20868356.1806,48.28,28.0374,20.2426,4.9401,0.3501,1.7563,-103866.0,1809916.4212
eic2025,optimista,Optimista — ONU (variante media),2036,139665469.7953,26532399.0635,15566222.9952,93421223.3139,19711847.418,4482622.571,20805559.4131,49.5008,28.4008,21.1,4.7393,-0.3603,1.751,-107167.0,1784001.797
eic2025,optimista,Optimista — ONU (variante media),2037,140261372.5998,26764168.939,15888654.6509,93041407.06,20455796.6008,4733044.9198,20729001.8759,50.7516,28.7659,21.9857,4.5484,-0.4066,1.7475,-102145.0,1758092.5772
eic2025,optimista,Optimista — ONU (variante media),2038,140813726.098,26989850.8604,16217437.6962,92616413.6725,21207461.5651,4996876.1413,20643642.5018,52.0397,29.1415,22.8982,4.3672,-0.4568,1.7435,-104893.0,1730898.2901
