year,un_published,un_method,tfr1,tfr1_0_14,tfr1_65p,un_0_14,un_65p,un_lac_aggregate
2025,667.888551,667.888707,666.853125,144.340211824,69.94222171400001,147.850776,67.96394500000001,667.888552
2030,687.743401,687.5519607883903,673.0786758983198,125.16302717157294,83.13141498346815,140.43611814926265,81.55765736774009,687.743397
2035,704.2271999999999,703.7840852044212,670.4851694733507,101.73638411361863,96.24869631048057,134.25311274259192,95.06912200653164,704.227204
2040,717.030338,716.3185393715462,664.9077882565612,81.08058992447435,109.55054557363232,130.20120956618865,108.73475684655637,717.030336
2045,725.6648260000001,724.764934078762,655.7256780076401,72.52535045009444,123.36970025828127,126.01320300318982,122.85558812175923,725.664821
2050,730.056746,729.0464000714768,642.2510166318693,68.66049348943675,137.78359920218753,121.38672057940194,137.475218952427,730.056747
2055,730.474646,729.3896417590826,624.0466494967657,62.87223686340637,151.83841963958884,116.4512080340861,151.6305817857612,730.474642
2060,727.195655,726.0627838442687,601.1102698203291,55.52973091599948,164.96295656913168,111.55168628995081,164.77884347179756,727.195657
2065,720.589572,719.4088925765952,573.9276160903755,47.764594844127785,176.56468377767877,106.96911993299383,176.37193061162628,720.589569
2070,710.988376,709.7928700634915,543.4022804231236,40.8894419879724,185.5906655969159,102.78106554031675,185.3837773144622,710.988375
2075,698.771012,697.5773199404989,510.48680263353214,35.664388002114855,192.12300261381102,98.94004779018883,191.9031004136538,698.771015
2080,684.287678,683.1322548720568,475.7844432680173,31.914167307671526,195.93105867861863,95.26072111747901,196.83346627761318,684.287677
2085,667.998347,666.9379797860482,439.7481888765591,28.856106112780207,197.0846734251921,91.60463595057296,198.99711215110167,667.9983440000001
2090,650.403345,649.4989825523202,402.854476567096,25.822460753325753,195.13393988582268,87.99580231837093,197.95499410553077,650.403342
2095,632.057044,631.3272733547833,365.77043915827585,22.705648959725707,181.70831694624252,84.51054617273901,195.96441651443132,632.0570479999999
2100,613.447222,612.8921359011097,329.29531609406445,19.767020083120116,163.57904905036224,81.22398792042888,193.56500157116977,613.447218
