scenario,year,pop_millions,pop_0_14_millions
sube_1.5,2025,130.911,28.277
sube_1.5,2030,133.606,26.210
sube_1.5,2035,135.689,24.610
sube_1.5,2040,136.968,22.991
sube_1.5,2045,137.401,21.975
sube_1.5,2050,136.946,20.686
observada_1.23,2025,130.911,28.277
observada_1.23,2030,132.172,24.776
observada_1.23,2035,132.861,21.782
observada_1.23,2040,132.812,18.835
observada_1.23,2045,131.939,17.940
observada_1.23,2050,130.103,16.657
baja_0.9,2025,130.911,28.277
baja_0.9,2030,132.278,24.883
baja_0.9,2035,131.519,20.440
baja_0.9,2040,129.845,15.868
baja_0.9,2045,127.467,13.363
baja_0.9,2050,124.241,12.132
onu_media_publicada,2025,131.947,
onu_media_publicada,2030,136.905,
onu_media_publicada,2035,141.151,
onu_media_publicada,2040,144.624,
onu_media_publicada,2045,147.240,
onu_media_publicada,2050,148.946,
