year,age_band,union_total,married,cohabiting,n_women_weighted,observed_or_interpolated,source,coverage_flag,note
2017,20-24,0.251,0.0266,0.2244,3554084,observed,"INDEC EPH continua 2017 microdata (usu_individual, 3 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (3 of 3 quarters)
2017,25-29,0.4803,0.1007,0.3796,3052327,observed,"INDEC EPH continua 2017 microdata (usu_individual, 3 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (3 of 3 quarters)
2017,30-34,0.6325,0.2211,0.4113,2686324,observed,"INDEC EPH continua 2017 microdata (usu_individual, 3 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (3 of 3 quarters)
2017,35-39,0.6946,0.3331,0.3616,2801694,observed,"INDEC EPH continua 2017 microdata (usu_individual, 3 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (3 of 3 quarters)
2018,20-24,0.2542,0.0228,0.2313,4807653,observed,"INDEC EPH continua 2018 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2018,25-29,0.4722,0.0962,0.376,4075868,observed,"INDEC EPH continua 2018 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2018,30-34,0.6153,0.2044,0.4109,3840109,observed,"INDEC EPH continua 2018 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2018,35-39,0.6883,0.3186,0.3697,3784296,observed,"INDEC EPH continua 2018 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2019,20-24,0.2437,0.0255,0.2182,4581583,observed,"INDEC EPH continua 2019 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2019,25-29,0.4668,0.0863,0.3806,4244032,observed,"INDEC EPH continua 2019 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2019,30-34,0.6029,0.1902,0.4127,3928745,observed,"INDEC EPH continua 2019 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2019,35-39,0.6779,0.2922,0.3857,4020386,observed,"INDEC EPH continua 2019 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2020,20-24,0.2242,0.0188,0.2053,4608241,observed,"INDEC EPH continua 2020 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2020,25-29,0.4905,0.1042,0.3864,4568701,observed,"INDEC EPH continua 2020 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2020,30-34,0.6154,0.1915,0.4239,3995059,observed,"INDEC EPH continua 2020 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2020,35-39,0.6676,0.2877,0.38,4091562,observed,"INDEC EPH continua 2020 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2021,20-24,0.2309,0.0234,0.2076,4392586,observed,"INDEC EPH continua 2021 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2021,25-29,0.4616,0.0873,0.3743,4197759,observed,"INDEC EPH continua 2021 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2021,30-34,0.638,0.1767,0.4614,4081653,observed,"INDEC EPH continua 2021 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2021,35-39,0.6786,0.3014,0.3772,3857282,observed,"INDEC EPH continua 2021 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2022,20-24,0.2117,0.0213,0.1904,4423026,observed,"INDEC EPH continua 2022 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2022,25-29,0.4678,0.0766,0.3912,4383414,observed,"INDEC EPH continua 2022 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2022,30-34,0.5996,0.1755,0.4241,4200936,observed,"INDEC EPH continua 2022 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2022,35-39,0.6766,0.2656,0.411,4059153,observed,"INDEC EPH continua 2022 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2023,20-24,0.2,0.0141,0.1859,4444730,observed,"INDEC EPH continua 2023 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2023,25-29,0.457,0.0755,0.3815,4254128,observed,"INDEC EPH continua 2023 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2023,30-34,0.6202,0.1691,0.4511,4331519,observed,"INDEC EPH continua 2023 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2023,35-39,0.6691,0.241,0.4282,4195436,observed,"INDEC EPH continua 2023 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2024,20-24,0.1964,0.0169,0.1795,4406837,observed,"INDEC EPH continua 2024 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2024,25-29,0.4426,0.0683,0.3743,4263654,observed,"INDEC EPH continua 2024 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2024,30-34,0.5957,0.1549,0.4408,4375237,observed,"INDEC EPH continua 2024 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2024,35-39,0.6617,0.23,0.4317,4222486,observed,"INDEC EPH continua 2024 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2025,20-24,0.1745,0.0136,0.1609,4520848,provisional,"INDEC EPH continua 2025 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2025,25-29,0.4311,0.0672,0.3639,4207381,provisional,"INDEC EPH continua 2025 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2025,30-34,0.5733,0.1498,0.4234,4397689,provisional,"INDEC EPH continua 2025 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
2025,35-39,0.6665,0.2344,0.4321,4418672,provisional,"INDEC EPH continua 2025 microdata (usu_individual, 4 quarters pooled); CH07 situación conyugal x CH06 edad, women CH04=2, weighted PONDERA",urban (31 aglomerados),full-year pooled (4 of 4 quarters)
