year,age_band,union_total,married,cohabiting,n_women_weighted,observed_or_interpolated,source,coverage_flag,note
2006,20-24,0.2797,0.1029,0.1768,649141,observed,"MDS CASEN 2006 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2006,25-29,0.5288,0.3054,0.2233,632259,observed,"MDS CASEN 2006 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2006,30-34,0.6796,0.4799,0.1997,627423,observed,"MDS CASEN 2006 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2006,35-39,0.7471,0.5705,0.1767,610507,observed,"MDS CASEN 2006 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2009,20-24,0.254,0.0695,0.1845,688946,observed,"MDS CASEN 2009 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2009,25-29,0.5104,0.2496,0.2608,648747,observed,"MDS CASEN 2009 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2009,30-34,0.6424,0.4261,0.2164,636834,observed,"MDS CASEN 2009 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2009,35-39,0.7156,0.5406,0.1749,616269,observed,"MDS CASEN 2009 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2011,20-24,0.2505,0.0595,0.1911,728497,observed,"MDS CASEN 2011 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2011,25-29,0.5018,0.2184,0.2835,659675,observed,"MDS CASEN 2011 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2011,30-34,0.6042,0.3579,0.2463,641451,observed,"MDS CASEN 2011 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2011,35-39,0.6717,0.4614,0.2104,633226,observed,"MDS CASEN 2011 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2013,20-24,0.2414,0.0477,0.1937,739311,observed,"MDS CASEN 2013 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2013,25-29,0.4814,0.1714,0.31,682504,observed,"MDS CASEN 2013 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2013,30-34,0.6151,0.3442,0.2709,654011,observed,"MDS CASEN 2013 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
2013,35-39,0.6312,0.4161,0.2151,642925,observed,"MDS CASEN 2013 microdata; ecivil (by label: casado=married, conviviente=cohab) x edad, women sexo=mujer, weighted expr",national (urban+rural),CASEN periodic wave (single cross-section)
