year,age_band,union_total,married,cohabiting,n_women_weighted,observed_or_interpolated,source,coverage_flag,note
2007,20-24,0.4131,0.0592,0.354,23045366,observed,"DANE GEIH 2007 microdata (catalog 317); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2007,25-29,0.4948,0.0882,0.4066,20083155,observed,"DANE GEIH 2007 microdata (catalog 317); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2007,30-34,0.5152,0.115,0.4002,18149625,observed,"DANE GEIH 2007 microdata (catalog 317); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2007,35-39,0.491,0.1381,0.3529,18412954,observed,"DANE GEIH 2007 microdata (catalog 317); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2008,20-24,0.4379,0.0781,0.3598,22715255,observed,"DANE GEIH 2008 microdata (catalog 206); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2008,25-29,0.6006,0.1786,0.422,20127138,observed,"DANE GEIH 2008 microdata (catalog 206); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2008,30-34,0.6826,0.2708,0.4117,18253554,observed,"DANE GEIH 2008 microdata (catalog 206); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2008,35-39,0.6992,0.3324,0.3668,18623791,observed,"DANE GEIH 2008 microdata (catalog 206); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2009,20-24,0.4457,0.0743,0.3714,22605551,observed,"DANE GEIH 2009 microdata (catalog 207); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2009,25-29,0.6119,0.1798,0.432,20653334,observed,"DANE GEIH 2009 microdata (catalog 207); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2009,30-34,0.6866,0.2587,0.4279,18954380,observed,"DANE GEIH 2009 microdata (catalog 207); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2009,35-39,0.707,0.3151,0.392,18466774,observed,"DANE GEIH 2009 microdata (catalog 207); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2010,20-24,0.4448,0.0669,0.3779,22963555,observed,"DANE GEIH 2010 microdata (catalog 205); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2010,25-29,0.6031,0.1674,0.4357,20861548,observed,"DANE GEIH 2010 microdata (catalog 205); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2010,30-34,0.682,0.2605,0.4215,19443562,observed,"DANE GEIH 2010 microdata (catalog 205); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2010,35-39,0.7048,0.3092,0.3956,18416243,observed,"DANE GEIH 2010 microdata (catalog 205); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2011,20-24,0.4516,0.0691,0.3825,23240230,observed,"DANE GEIH 2011 microdata (catalog 182); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2011,25-29,0.6131,0.1596,0.4535,20930460,observed,"DANE GEIH 2011 microdata (catalog 182); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2011,30-34,0.6807,0.2451,0.4355,20058902,observed,"DANE GEIH 2011 microdata (catalog 182); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2011,35-39,0.6929,0.2922,0.4007,18423374,observed,"DANE GEIH 2011 microdata (catalog 182); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2012,20-24,0.4498,0.062,0.3878,23648312,observed,"DANE GEIH 2012 microdata (catalog 77); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2012,25-29,0.6127,0.1621,0.4505,21437579,observed,"DANE GEIH 2012 microdata (catalog 77); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2012,30-34,0.6755,0.2369,0.4386,20365857,observed,"DANE GEIH 2012 microdata (catalog 77); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2012,35-39,0.7056,0.2889,0.4167,18419514,observed,"DANE GEIH 2012 microdata (catalog 77); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2013,20-24,0.4505,0.0619,0.3887,23879998,observed,"DANE GEIH 2013 microdata (catalog 68); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2013,25-29,0.603,0.1479,0.4551,21649741,observed,"DANE GEIH 2013 microdata (catalog 68); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2013,30-34,0.6777,0.2369,0.4408,21407848,observed,"DANE GEIH 2013 microdata (catalog 68); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2013,35-39,0.6925,0.2779,0.4145,18443941,observed,"DANE GEIH 2013 microdata (catalog 68); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2014,20-24,0.4441,0.0566,0.3875,24645480,observed,"DANE GEIH 2014 microdata (catalog 328); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2014,25-29,0.604,0.1465,0.4575,21902948,observed,"DANE GEIH 2014 microdata (catalog 328); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2014,30-34,0.6694,0.2269,0.4426,21286642,observed,"DANE GEIH 2014 microdata (catalog 328); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2014,35-39,0.6887,0.2717,0.417,19274920,observed,"DANE GEIH 2014 microdata (catalog 328); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2015,20-24,0.4453,0.0506,0.3947,24999655,observed,"DANE GEIH 2015 microdata (catalog 356); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
