year,age_band,union_total,married,cohabiting,n_women_weighted,observed_or_interpolated,source,coverage_flag
2010,20-24,0.3233,0.1244,0.199,221864,observed,"INEC ENAHO 2010 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2010,25-29,0.5065,0.2648,0.2417,187788,observed,"INEC ENAHO 2010 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2010,30-34,0.6624,0.4309,0.2315,170201,observed,"INEC ENAHO 2010 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2010,35-39,0.6864,0.4768,0.2096,149926,observed,"INEC ENAHO 2010 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2011,20-24,0.2945,0.0988,0.1958,219940,observed,"INEC ENAHO 2011 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2011,25-29,0.4797,0.2417,0.2379,200350,observed,"INEC ENAHO 2011 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2011,30-34,0.6153,0.3974,0.2179,176964,observed,"INEC ENAHO 2011 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2011,35-39,0.704,0.4837,0.2203,152598,observed,"INEC ENAHO 2011 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2012,20-24,0.2687,0.0898,0.1788,218673,observed,"INEC ENAHO 2012 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2012,25-29,0.4738,0.2288,0.2449,200947,observed,"INEC ENAHO 2012 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2012,30-34,0.6214,0.3769,0.2445,173953,observed,"INEC ENAHO 2012 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2012,35-39,0.6956,0.4889,0.2068,160616,observed,"INEC ENAHO 2012 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2013,20-24,0.2533,0.0815,0.1718,217115,observed,"INEC ENAHO 2013 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2013,25-29,0.4613,0.2104,0.2509,196086,observed,"INEC ENAHO 2013 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2013,30-34,0.5943,0.3651,0.2292,179626,observed,"INEC ENAHO 2013 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2013,35-39,0.6548,0.4387,0.2161,155880,observed,"INEC ENAHO 2013 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2014,20-24,0.2641,0.0775,0.1866,209384,observed,"INEC ENAHO 2014 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2014,25-29,0.464,0.2207,0.2433,206104,observed,"INEC ENAHO 2014 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2014,30-34,0.6155,0.3659,0.2496,179189,observed,"INEC ENAHO 2014 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2014,35-39,0.6737,0.4577,0.216,167420,observed,"INEC ENAHO 2014 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2015,20-24,0.2893,0.081,0.2084,218629,observed,"INEC ENAHO 2015 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2015,25-29,0.495,0.2315,0.2635,206653,observed,"INEC ENAHO 2015 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2015,30-34,0.6163,0.3726,0.2437,190794,observed,"INEC ENAHO 2015 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2015,35-39,0.6915,0.4689,0.2227,174294,observed,"INEC ENAHO 2015 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2016,20-24,0.2909,0.0836,0.2074,216628,observed,"INEC ENAHO 2016 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2016,25-29,0.4706,0.2098,0.2607,209362,observed,"INEC ENAHO 2016 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2016,30-34,0.596,0.3491,0.2469,193834,observed,"INEC ENAHO 2016 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2016,35-39,0.6551,0.4179,0.2372,171222,observed,"INEC ENAHO 2016 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2017,20-24,0.2605,0.0659,0.1946,205588,observed,"INEC ENAHO 2017 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2017,25-29,0.4519,0.196,0.2559,198789,observed,"INEC ENAHO 2017 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2017,30-34,0.6032,0.3463,0.2569,197185,observed,"INEC ENAHO 2017 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2017,35-39,0.6553,0.4229,0.2324,174851,observed,"INEC ENAHO 2017 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2018,20-24,0.2521,0.056,0.1961,206406,observed,"INEC ENAHO 2018 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
