year,value,source,methodology_flag,provisional_flag
2010,756176,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2011,758042,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2012,738318,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2013,754603,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2014,777012,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2015,770040,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2016,728035,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2017,704609,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2018,685394,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2019,625441,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2020,533299,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2021,529794,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2022,495295,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2023,460902,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,definitive
2024,413135,"DEIS (Min. Salud) open microdata, nacidos vivos registrados (summed by anio); 2023 matches Sintesis N10",2014=peak; recomputed from microdata,provisional
