year,age_group,value,source,methodology_flag,provisional_flag
2023,15-19,11.0,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2023,20-24,43.7,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2023,25-29,59.7,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2023,30-34,60.7,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2023,35-39,42.9,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2023,40-44,12.8,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2023,45-49,1.0,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2024,15-19,9.3,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2024,20-24,38.5,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2024,25-29,53.4,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2024,30-34,54.6,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2024,35-39,38.7,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2024,40-44,11.3,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
2024,45-49,0.8,"INE Chile provisional bulletins EV2023/EV2024, Grafico 4 (TEF)","provisional TEF; per 1,000; 2023/24 observed-births basis",provisional
