year,value,source,methodology_flag,provisional_flag
2010,250643,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2011,247358,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2012,243635,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2013,242005,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2014,250997,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2015,244670,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2016,231749,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2017,219186,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2018,221731,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2019,210188,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2020,194978,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2021,177273,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2022,189303,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),definitive
2023,174067,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),provisional
2024,154441,INE Chile Anuario EV 2022 Tabla 10 (2010-2022 obs); Boletines provisionales EV2023/EV2024,nacidos vivos by mother residence; observed (uncorrected),provisional
