year,value,source,methodology_flag,provisional_flag
2016,647521,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2017,656704,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2018,649115,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2019,642660,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2020,629402,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2021,616914,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2022,573625,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2023,515549,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2024,453901,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",definitive
2025,433678,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 1/2 [bol-EEVV-IIsem2025pr.pdf]","2024 revised up from 445,011pr (+2.0% late registration)",provisional
