year,value,source,methodology_flag,provisional_flag
2016,51.8,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2017,52.0,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2018,51.8,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2019,50.0,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2020,47.7,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2021,45.9,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2022,42.1,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2023,37.4,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2024,32.6,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",definitive
2025,30.9,"DANE EEVV Boletin IIsem-2025pr (20-mar-2026), Grafico 4 (revised series) [bol-EEVV-IIsem2025pr.pdf]","nacidos vivos per 1,000 women 15-49; revised vintage (2018: 50.6->51.8 vs older series)",provisional
