year,value,source,methodology_flag,provisional_flag
2015,1.7,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2016,1.7,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2017,1.7,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2018,1.7,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2019,1.6,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2020,1.5,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2021,1.5,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2022,1.4,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2023,1.2,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
2024,1.1,"DANE EEVV Boletin Isem-2025pr (25-sep-2025), Grafico 7 [bol-EEVV-Isem2025pr.pdf]","chart-label, rounded 1 decimal; crude (not age-standardized); denom=CNPV2018 conciliated projections",definitive
