year,value,source,methodology_flag,provisional_flag
2010,70922,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2011,73459,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2012,73326,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2013,70550,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2014,71793,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2015,71819,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2016,70004,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2017,68811,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2018,68449,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2019,64274,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2020,58156,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2021,54288,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2022,53435,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2023,50205,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
2024,45821,INEC CR Estadisticas Vitales 2024 Cuadro 3.21,"near-complete civil registry; INEC publishes as final (no provisional flag); 2024 press snippet said 45,825",definitive
