year,value,source,methodology_flag,provisional_flag
2010,1.806,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2011,1.856,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2012,1.839,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2013,1.759,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2014,1.779,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2015,1.77,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2016,1.717,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2017,1.681,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2018,1.667,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2019,1.561,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2020,1.408,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2021,1.311,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2022,1.288,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2023,1.207,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
2024,1.099,"implied from CRI_births_national.csv / WB women 15-49, anchored to national TFR 2015",stable-age-pattern assumption; extension/consistency proxy,definitive
