year,value,source,methodology_flag,provisional_flag
2010,1.83,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2011,1.87,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2012,1.84,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2013,1.76,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2014,1.78,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2015,1.77,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2016,1.71,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2017,1.67,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2018,1.66,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2019,1.56,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2020,1.41,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2021,1.32,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2022,1.3,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),denom INEC-CCP projections; level +-0.03 denominator-sensitive (Censo 2022 rebasing),definitive
2023,1.22,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),Cuadro 2.2 value; an INEC news release reports 1.19 (denominator-vintage diff),definitive
2024,1.12,INEC CR Panorama Demografico 2023 Cuadro 2.2 (2010-2023); INEC news release (2024),INEC news release Jun-2025; denom=post-Censo2022 INEC-CCP jul-2024 projections,definitive
