year,age_group,value,source,methodology_flag,provisional_flag
2014,15-19,77.0,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2014,20-24,126.0,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2014,25-29,113.1,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2014,30-34,77.2,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2014,35-39,38.1,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2014,40-44,10.0,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2014,45-49,0.6,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2018,15-19,70.6,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2018,20-24,118.2,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2018,25-29,108.8,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2018,30-34,72.4,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2018,35-39,34.4,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2018,40-44,9.4,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2018,45-49,0.6,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2023,15-19,45.2,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2023,20-24,85.5,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2023,25-29,84.3,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2023,30-34,63.7,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2023,35-39,32.4,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2023,40-44,9.0,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
2023,45-49,0.5,"INEGI ENADID 2023 presentation, 'Tasas especificas de fecundidad' chart","survey ASFR; 2023=trienio 2020-2022; per 1,000",definitive
