year,value,source,methodology_flag,provisional_flag
2010,2.3705,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2011,2.3151,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2012,2.2587,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2013,2.2154,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2014,2.1779,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2015,2.1359,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2016,2.0807,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2017,2.0402,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2018,2.0289,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2019,2.0177,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",modeled/conciliated; Censo-2020 rebased; DO NOT splice with INEGI/ENADID series,definitive
2020,1.9888,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",PROJECTION (conciliacion ends 2019),provisional
2021,1.9651,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",PROJECTION,provisional
2022,1.9398,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",PROJECTION,provisional
2023,1.914,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",PROJECTION,provisional
2024,1.8884,"CONAPO Conciliacion Demografica 1950-2019 + Proyecciones 2020-2070 (2023 base), 5_Indicadores xlsx",PROJECTION,provisional
