year,value,source,methodology_flag,provisional_flag
1991,14.3162465183989,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1992,13.8320886226171,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1993,13.3524493799144,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1994,12.9070258587793,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1995,12.746232878317,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1996,12.3705229477794,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1997,11.9772229771056,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1998,11.6764564167733,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1999,11.579041293433,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2000,11.447522243412,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2001,11.4069780795884,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2002,11.6131248822935,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2003,11.2514443498271,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2004,10.737349351103,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2005,10.2704748548924,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2006,9.82702638961128,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2007,9.44548870469177,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2008,9.16991179618588,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2009,9.0443412609605,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2010,8.71079172416965,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2011,8.53394251407143,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2012,8.38820617782708,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2013,8.22769610090529,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2014,8.17466957589193,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2015,7.97810861263688,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2016,7.93976871110963,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2017,7.76779997823827,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2018,7.72421488276846,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2019,7.61304714991947,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2020,7.76680961200243,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2021,7.75008753977912,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2022,7.56484102540425,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2023,7.36522999791843,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2024,7.248468913108,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2025,7.0009415978768,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
