year,value,source,methodology_flag,provisional_flag
1965,12.9041629886915,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1966,10.2787574725073,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1967,9.98038631665412,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1968,9.72127698537181,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1969,9.18580964838541,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1970,9.6375609641048,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1971,10.8658823843399,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1972,10.984869871837,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1973,11.9525224881086,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1974,10.2308377488651,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1975,6.5839104917193,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1976,8.15217071197931,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1977,8.0871421139688,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1978,7.5044274778029,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1979,7.79627735939132,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1980,6.35350500487903,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1981,6.47552296063439,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1982,9.59615604621897,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1983,8.65832496118367,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1984,8.3459768371011,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1985,7.63430725730443,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1986,7.80040264019792,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1987,8.09435846444628,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1988,8.97786821775225,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1989,9.61606509643166,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1990,8.12367620787488,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1991,6.71649176009431,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1992,5.99078709147934,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1993,5.13682648211779,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1994,5.08266800031075,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1995,5.351464616273,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1996,5.61086611323361,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1997,5.22197210944516,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1998,5.25272256987622,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1999,4.45782610229152,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2000,4.67991094417297,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2001,4.56858960891786,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2002,10.2066467144411,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2003,10.328166939117,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2004,8.36248661002826,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2005,7.93875427420938,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2006,6.93557229126392,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2007,7.45235394606923,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2008,7.3189545972436,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2009,5.2736234689014,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2010,7.13216745078964,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2011,6.99873377022519,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2012,5.7817442068501,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2013,6.05291843670451,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2014,6.71270351428559,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2015,5.1566859021408,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2016,6.26456582010254,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2017,5.23162237725058,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
