year,value,source,methodology_flag,provisional_flag
1960,24.152,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1961,23.857,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1962,23.753,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1963,23.504,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1964,23.174,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1965,22.612,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1966,22.313,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1967,22.445,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1968,22.691,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1969,23.027,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1970,23.355,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1971,23.57,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1972,23.823,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1973,24.121,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1974,24.493,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1975,24.927,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1976,25.235,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1977,25.48,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1978,25.383,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1979,25.12,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1980,24.72,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1981,24.25,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1982,23.771,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1983,23.268,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1984,22.98,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1985,22.546,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1986,22.398,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1987,22.208,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1988,22.22,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1989,22.012,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1990,22.078,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1991,21.914,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1992,21.726,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1993,21.596,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1994,21.414,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1995,20.954,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1996,20.422,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1997,19.957,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1998,19.707,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
