year,value,source,methodology_flag,provisional_flag
1990,43.117,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1991,44.64,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1992,46.08,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1993,47.546,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1994,48.662,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1995,48.503,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1996,49.453,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1997,50.698,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1998,51.287,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1999,50.751,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2000,50.537,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2001,49.755,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2002,47.938,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2003,48.936,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2004,49.963,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2005,49.098,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2006,49.738,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2007,48.901,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2008,48.064,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2009,48.789,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2010,47.689,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2011,47.947,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2012,48.055,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2013,47.642,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2014,47.417,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2015,47.498,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2016,47.582,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2017,47.666,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2018,49.146,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2019,50,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2020,46.486,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2021,50.26,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2022,51.868,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2023,52.958,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2024,52.281,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2025,52.469,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
