year,value,source,methodology_flag,provisional_flag
1960,20387,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1961,26322,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1962,31449,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1963,32866,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1964,34530,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1965,36083,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1966,37752,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1967,39711,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1968,42014,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1969,42688,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1970,38355,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1971,35442,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1972,36050,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1973,38589,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1974,33134,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1975,-5293,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1976,-10235,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1977,-14675,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1978,-14665,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1979,-10213,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1980,1932,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1981,16569,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1982,29616,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1983,46438,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1984,47659,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1985,46889,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1986,38586,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1987,40859,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1988,37594,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1989,26555,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1990,15719,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1991,-8537,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1992,-13201,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1993,-16455,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1994,-18723,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1995,-19815,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1996,-20486,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1997,-20651,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1998,-20326,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1999,-20220,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2000,-22775,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2001,-23687,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2002,-22674,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2003,-22450,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2004,-22381,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2005,-22068,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2006,-20109,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2007,-18099,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2008,-12517,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2009,-7882,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2010,-5003,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2011,-1117,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2012,2978,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2013,5275,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2014,5794,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2015,5464,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2016,5215,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2017,4931,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2018,5742,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2019,5397,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2020,292,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2021,314,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2022,5589,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2023,4133,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2024,3454,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2025,2859,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
