year,value,source,methodology_flag,provisional_flag
1960,10175528,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1961,10357370,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1962,10539647,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1963,10723652,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1964,10907254,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1965,11088672,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1966,11268775,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1967,11450939,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1968,11637225,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1969,11827790,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1970,12023844,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1971,12226197,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1972,12434789,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1973,12650533,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1974,12872761,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1975,13091933,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1976,13307092,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1977,13527193,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1978,13751359,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1979,13977319,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1980,14205756,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1981,14439210,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1982,14676897,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1983,14916804,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1984,15157857,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1985,15399848,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1986,15642967,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1987,15887734,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1988,16136524,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1989,16385772,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1990,16630962,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1991,16869703,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1992,17103144,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1993,17334855,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1994,17565566,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1995,17793348,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1996,18015824,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1997,18233978,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1998,18448100,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1999,18660016,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2000,18870186,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2001,19076995,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2002,19281383,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2003,19480492,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2004,19676039,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2005,19874795,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2006,20074295,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2007,20266488,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2008,20464391,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2009,20673509,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2010,20883716,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2011,21099010,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2012,21307318,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2013,21507070,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2014,21718370,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2015,21939310,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2016,22147408,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2017,22335741,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2018,22512096,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2019,22665751,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2020,22772481,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2021,22834166,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2022,22880775,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2023,22941417,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2024,23015446,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
