year,value,source,methodology_flag,provisional_flag
1960,20386045,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1961,20726276,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1962,21072538,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1963,21421705,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1964,21769453,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1965,22112629,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1966,22453893,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1967,22799059,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1968,23150583,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1969,23508711,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1970,23878327,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1971,24257208,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1972,24644328,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1973,25046005,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1974,25461351,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1975,25874107,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1976,26282283,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1977,26701805,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1978,27132158,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1979,27568895,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1980,28011596,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1981,28463959,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1982,28924262,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1983,29391332,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1984,29863093,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1985,30336441,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1986,30811980,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1987,31291762,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1988,31780532,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1989,32270948,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1990,32755901,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1991,33230294,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1992,33693527,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1993,34152717,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1994,34613491,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1995,35070020,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1996,35513793,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1997,35947791,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1998,36372860,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1999,36794682,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2000,37213984,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2001,37624825,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2002,38029349,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2003,38424282,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2004,38815916,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2005,39216789,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2006,39622115,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2007,40016763,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2008,40424148,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2009,40854831,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2010,41288694,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2011,41730660,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2012,42161721,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2013,42582455,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2014,43024071,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2015,43477012,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2016,43900313,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2017,44288894,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2018,44654882,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2019,44973465,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2020,45191965,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2021,45312281,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2022,45407904,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2023,45538401,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2024,45696159,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
