year,value,source,methodology_flag,provisional_flag
1960,3.136,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1961,3.12,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1962,3.126,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1963,3.109,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1964,3.075,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1965,3.005,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1966,2.966,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1967,2.982,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1968,3.011,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1969,3.049,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1970,3.085,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1971,3.108,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1972,3.135,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1973,3.17,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1974,3.216,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1975,3.271,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1976,3.317,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1977,3.359,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1978,3.359,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1979,3.339,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1980,3.301,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1981,3.253,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1982,3.204,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1983,3.148,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1984,3.116,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1985,3.066,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1986,3.054,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1987,3.037,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1988,3.046,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1989,3.022,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1990,3.034,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1991,3.012,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1992,2.987,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1993,2.966,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1994,2.935,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1995,2.864,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1996,2.781,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1997,2.706,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1998,2.662,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1999,2.643,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2000,2.591,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2001,2.531,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2002,2.493,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2003,2.451,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2004,2.43,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2005,2.426,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2006,2.4,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2007,2.37,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2008,2.432,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2009,2.4,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2010,2.411,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2011,2.393,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2012,2.304,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2013,2.335,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2014,2.386,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2015,2.35,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2016,2.241,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2017,2.168,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2018,2.067,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2019,1.882,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2020,1.601,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2021,1.585,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2022,1.482,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2023,1.5,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2024,1.504,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
