year,value,source,methodology_flag,provisional_flag
1960,71.7238893802647,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1961,72.4354744941627,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1962,73.1728787774807,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1963,73.9273735418668,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1964,74.6879628669135,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1965,75.4436508322132,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1966,76.1834415173586,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1967,76.8963390019422,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1968,77.5713473655565,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1969,78.197470687794,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1970,78.7618397059741,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1971,79.2692164343612,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1972,79.7364960845372,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1973,80.172591002121,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1974,80.5835904331507,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1975,80.9755836236642,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1976,81.3546598196994,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1977,81.7269082672944,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1978,82.098418212487,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1979,82.4752789013152,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1980,82.8639554289458,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1981,83.2689842072422,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1982,83.6905247145442,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1983,84.1222444561233,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1984,84.5580771403692,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1985,84.9919564756716,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1986,85.4178161704202,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1987,85.8295899330048,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1988,86.2212114718152,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1989,86.5866144952409,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1990,86.9197327116719,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1991,87.2150276705697,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1992,87.4815873775619,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1993,87.7307713525095,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1994,87.964582650281,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1995,88.1853677511823,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1996,88.3954731355194,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1997,88.5972452835983,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1998,88.793030675725,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1999,88.9851757922053,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2000,89.1760271133454,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2001,89.3682951289372,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2002,89.5616701920513,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2003,89.752468256564,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2004,89.9397208794212,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2005,90.1233737736072,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2006,90.3033726521064,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2007,90.4796632279031,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2008,90.6521912139817,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
