year,value,source,methodology_flag,provisional_flag
1991,16.7225908828621,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1992,15.8316631298229,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1993,14.4872204176795,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1994,14.1575535625321,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1995,13.704046525374,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1996,13.4255127415624,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1997,12.5861355168131,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1998,12.5767355482361,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1999,12.6009631988572,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2000,12.6078068236973,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2001,11.8519540898375,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2002,11.7672644382758,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2003,11.8496125473016,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2004,11.3887226278515,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2005,10.9538898157057,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2006,10.5564482345306,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2007,10.1455417538985,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2008,9.73416251195751,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2009,9.5318972357913,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2010,9.19077771292268,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2011,8.85227622590013,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2012,8.49483056373808,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2013,7.7117287101238,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2014,7.51091993941879,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2015,7.45055621763203,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2016,7.51260626996306,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2017,7.41522665150279,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2018,7.25607207765418,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2019,7.03079649547351,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2020,7.18474393125985,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2021,6.54762033540089,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2022,6.32757090075421,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2023,6.20836594247335,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2024,6.22546007701043,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2025,6.06552449974121,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
