year,value,source,methodology_flag,provisional_flag
1960,10.2519226323888,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1961,9.8586742099403,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1962,8.98697179355335,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1963,7.78280943928041,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1964,8.41728254579301,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1965,8.73959862063361,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1966,9.14526540595763,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1967,8.50133543697839,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1968,7.57658573857333,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1969,6.78133447131963,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1970,6.69575345771814,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1971,8.01100172861686,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1972,8.14911598905393,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1973,6.50538704311853,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1974,5.56041309490388,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1975,6.42234030498294,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1976,8.29057551216963,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1977,9.61903965883771,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1978,7.42390436023242,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1979,7.12394291966297,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1980,7.09042624083891,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1981,6.34140908822716,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1982,6.23030219959497,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1983,5.81117354492524,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1984,7.03812743981795,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1985,7.37883164165532,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1986,8.43538238536869,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
