year,value,source,methodology_flag,provisional_flag
1960,35.309,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1961,34.792,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1962,34.284,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1963,33.704,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1964,33.056,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1965,32.366,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1966,31.654,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1967,30.925,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1968,30.184,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1969,29.454,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1970,28.77,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1971,28.077,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1972,27.436,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1973,26.782,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1974,26.093,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1975,25.482,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1976,24.933,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1977,24.453,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1978,24.007,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1979,23.55,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1980,23.234,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1981,22.951,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1982,22.721,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1983,22.588,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1984,22.533,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1985,22.499,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1986,22.514,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1987,22.506,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1988,22.455,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1989,22.349,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1990,22.136,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1991,21.808,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1992,20.966,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1993,20.413,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1994,19.823,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1995,19.473,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1996,18.753,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1997,17.942,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1998,17.372,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1999,16.655,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2000,16.322,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2001,15.914,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2002,15.249,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2003,14.789,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2004,14.415,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2005,14.23,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2006,13.995,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2007,14.194,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2008,14.353,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2009,14.363,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2010,14.23,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2011,14.017,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2012,13.776,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2013,13.622,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2014,13.473,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2015,13.147,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2016,12.685,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2017,11.763,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2018,11.698,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2019,10.94,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2020,10.097,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2021,9.07,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2022,9.672,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2023,8.963,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
