year,value,source,methodology_flag,provisional_flag
2010,11.7779090626864,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2011,9.84976005554199,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2012,12.6399924224521,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2013,10.9863300323486,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2014,14.1479744259034,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2015,12.3222999572754,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2016,14.4466241338745,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2017,14.1396703720093,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2018,16.781522145186,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2019,18.0028963745758,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2020,18.6215309669443,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2021,18.9309707886014,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2022,19.5457011878479,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2023,20.934962991365,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2024,21.709062096362,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
