year,value,source,methodology_flag,provisional_flag
2000,79.3,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2003,80.7,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2004,86.7249984741211,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2006,81.4,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2007,88.7662963867188,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2008,84.6594161987305,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2009,83.5,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2010,83.8438568115234,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2011,79.6520233154297,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2012,86.4606307368662,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2013,84.712532043457,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2014,87.6175905480455,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2015,86.1319198608398,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2016,88.5190152929881,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2017,86.7673187255859,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2018,89.8469205486463,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2019,90.4671145052894,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2020,89.4,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2021,90.967418902389,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2022,89.8,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2023,91.4278680846542,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2024,91.7357324893817,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
