year,value,source,methodology_flag,provisional_flag
2000,42.4,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2003,44.9,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2004,49.9464683532715,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2006,45.6,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2007,50.0799102783203,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2008,51.0005416870117,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2009,50.5,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2010,51.9844398498535,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2011,49.6820106506348,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2012,56.5533556120262,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2013,52.8814506530762,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2014,59.2660591636103,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2015,55.9741706848145,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2016,61.3895992883522,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2017,58.3658790588379,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2018,65.239821275038,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2019,66.1271917084492,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2020,64.4,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2021,66.450613387289,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2022,66,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2023,68.2287269470591,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2024,69.4026000995014,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
