year,value,source,methodology_flag,provisional_flag
1990,30.983,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1991,31.873,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1992,33.205,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1993,34.088,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1994,34.784,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1995,35.896,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1996,36.756,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1997,37.492,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1998,37.854,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1999,38.096,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2000,37.7,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2001,36.726,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2002,36.448,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2003,37.8,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2004,39.211,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2005,40.131,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2006,41.288,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2007,42.235,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2008,44.182,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2009,44.615,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2010,46.856,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2011,48.913,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2012,49.179,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2013,49.656,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2014,50.288,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2015,50.352,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2016,50.756,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2017,51.739,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2018,52.416,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2019,52.651,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2020,45.442,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2021,46.579,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2022,50.025,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2023,51.963,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2024,52.784,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2025,52.887,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
