year,value,source,methodology_flag,provisional_flag
1960,-27184,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1961,-27159,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1962,-28023,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1963,-29082,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1964,-31261,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1965,-33988,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1966,-36446,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1967,-38159,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1968,-38224,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1969,-36976,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1970,-36079,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1971,-34147,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1972,-32584,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1973,-31878,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1974,-31211,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1975,-30524,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1976,-29967,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1977,-29651,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1978,-29644,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1979,-29873,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1980,-28060,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1981,-28096,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1982,-26646,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1983,-23386,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1984,-21188,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1985,-18047,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1986,-17148,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1987,-11958,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1988,-9131,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1989,-6186,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1990,-1274,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1991,-2207,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1992,0,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1993,1164,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1994,1930,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1995,2454,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1996,2942,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1997,3504,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1998,10984,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1999,8226,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2000,7067,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2001,6346,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2002,7824,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2003,9225,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2004,11495,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2005,14289,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2006,17285,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2007,20170,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2008,22488,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2009,24324,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2010,26048,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2011,28086,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2012,30870,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2013,36529,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2014,52702,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2015,55689,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2016,135864,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2017,220621,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2018,237807,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2019,181339,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2020,26042,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2021,65480,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2022,59374,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2023,62679,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2024,58316,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2025,51712,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
