year,value,source,methodology_flag,provisional_flag
1960,4058358,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1961,4146092,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1962,4234288,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1963,4322932,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1964,4411333,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1965,4498689,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1966,4585067,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1967,4670545,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1968,4755293,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1969,4839891,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1970,4924261,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1971,5008404,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1972,5092891,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1973,5177686,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1974,5262236,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1975,5346764,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1976,5431557,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1977,5516497,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1978,5601460,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1979,5686394,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1980,5772168,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
