year,value,source,methodology_flag,provisional_flag
1960,8153350,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1961,8324802,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1962,8497059,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1963,8670144,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1964,8842525,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1965,9012938,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1966,9181722,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1967,9348939,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1968,9514716,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1969,9680282,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1970,9845344,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1971,10009701,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1972,10174678,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1973,10340362,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1974,10505817,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1975,10671559,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1976,10838251,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1977,11005519,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1978,11172695,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1979,11339779,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1980,11508550,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1981,11678717,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1982,11850214,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1983,12026138,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1984,12207733,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1985,12395274,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1986,12588914,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1987,12790150,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1988,12999424,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1989,13215005,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1990,13437176,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1991,13662491,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1992,13884577,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1993,14102276,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1994,14316256,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1995,14527381,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1996,14734046,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1997,14932434,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1998,15127799,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1999,15319313,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2000,15503635,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2001,15683849,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2002,15857925,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2003,16024752,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2004,16187322,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2005,16348778,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2006,16509195,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2007,16671581,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2008,16838988,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2009,17009731,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2010,17181464,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2011,17351816,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2012,17519119,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2013,17687006,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2014,17864195,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2015,18047625,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2016,18267221,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2017,18558868,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2018,18893191,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2019,19197744,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2020,19370624,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2021,19456334,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2022,19553036,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2023,19658835,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2024,19764771,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
