year,value,source,methodology_flag,provisional_flag
1960,4.697,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1961,4.655,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1962,4.602,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1963,4.536,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1964,4.457,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1965,4.364,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1966,4.259,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1967,4.144,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1968,4.025,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1969,3.902,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1970,3.778,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1971,3.654,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1972,3.53,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1973,3.409,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1974,3.293,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1975,3.182,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1976,3.078,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1977,2.981,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1978,2.892,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1979,2.812,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1980,2.744,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1981,2.689,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1982,2.648,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1983,2.619,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1984,2.601,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1985,2.592,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1986,2.589,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1987,2.59,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1988,2.591,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1989,2.589,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1990,2.579,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1991,2.558,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1992,2.478,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1993,2.43,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1994,2.377,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1995,2.353,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1996,2.284,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1997,2.202,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1998,2.149,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1999,2.074,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2000,2.046,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2001,2.007,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2002,1.934,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2003,1.885,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2004,1.844,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2005,1.825,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2006,1.798,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2007,1.826,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2008,1.85,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2009,1.855,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2010,1.844,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2011,1.823,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2012,1.798,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2013,1.786,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2014,1.774,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2015,1.737,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2016,1.686,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2017,1.563,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2018,1.543,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2019,1.43,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2020,1.307,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2021,1.176,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2022,1.255,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2023,1.167,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2024,1.14,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
