year,value,source,methodology_flag,provisional_flag
1960,67.8400829185243,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1961,68.6703645904272,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1962,69.4770903697945,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1963,70.2630375251873,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1964,71.0290617662928,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1965,71.7760188027985,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1966,72.5047643443917,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1967,73.2161541007599,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1968,73.9110437815904,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1969,74.5902890965706,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1970,75.2576239323404,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1971,75.9412590436768,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1972,76.6532330053805,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1973,77.3781881508753,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1974,78.1026484240847,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1975,78.8131377689322,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1976,79.4961801293415,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1977,80.138299449236,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1978,80.7260196725395,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1979,81.2458647431755,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1980,81.6843586050675,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1981,82.0280252021392,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1982,82.2659680645396,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1983,82.4382374634575,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1984,82.5795301526956,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1985,82.6965460762869,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1986,82.7971058945277,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1987,82.8890302677142,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1988,82.9801398561428,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1989,83.0782553201097,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1990,83.1911973199111,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1991,83.3267865158432,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1992,83.4959351320883,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1993,83.7341884954788,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1994,84.0491405833779,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1995,84.4167268897386,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1996,84.8148594016272,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1997,85.2214501061097,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1998,85.6144109902521,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1999,85.9716540411206,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2000,86.2710912457813,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2001,86.4906345913002,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2002,86.6114115090282,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2003,86.6792973033246,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2004,86.7336754490112,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2005,86.7768244484887,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2006,86.8125123390851,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2007,86.8445071581285,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2008,86.8765769429469,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2009,86.9124897308683,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2010,86.9560135592209,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2011,87.0109164653326,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2012,87.0824943735696,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2013,87.1827777654221,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2014,87.3133701497978,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2015,87.4653320342387,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2016,87.6306290578181,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2017,87.8000295757281,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2018,87.9620493753008,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2019,88.1273685623538,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2020,88.2953490438375,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2021,88.4660511664452,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2022,88.6395352768685,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2023,88.8158617217972,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2024,88.9950908479196,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
