year,value,source,methodology_flag,provisional_flag
1991,19.9402464715792,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1992,19.8514055906666,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1993,19.5778880515422,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1994,19.2673602223689,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1995,19.0416208701347,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1996,19.0474855571189,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1997,18.8786587833129,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1998,19.0676846396622,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1999,19.6297752137424,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2000,19.8551338444509,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2001,19.9166008162037,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2002,19.1861958968501,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2003,19.7551217413225,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2004,18.9835261001383,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2005,19.396178134368,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2006,18.5860674461379,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2007,17.5276723303217,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2008,17.1974866480924,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2009,17.8499761934109,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2010,17.5076310660453,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2011,17.0134199316647,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2012,16.6076637300636,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2013,16.0476525581668,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2014,15.4842412833454,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2015,15.3875001230881,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2016,15.3821230426391,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2017,15.9879816403274,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2018,16.0283372646524,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2019,15.1829622104953,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2020,15.8122822919019,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2021,15.1143754822074,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2022,14.6393218523914,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2023,14.3964971136151,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2024,14.2538227689156,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2025,14.1575818404901,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
