year,value,source,methodology_flag,provisional_flag
1965,27.2864039148261,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1966,26.6084464760865,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1967,26.8922181198523,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1968,26.8593849766225,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1969,25.8672848345983,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1970,25.087370450711,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1971,23.5191101189331,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1972,24.1306021707258,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1973,24.1289685803586,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1974,24.3821033301901,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1975,23.8864697808979,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1976,23.6286095402709,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1977,25.0470302180498,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1978,23.0404612710242,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1979,21.4658774226815,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1980,19.3599007048185,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1981,19.2477404120391,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1982,18.7651213431477,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1983,18.7138952836759,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1984,17.4089297678982,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1985,16.9906943035106,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1986,17.4769253071175,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1987,18.0637386666618,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1988,16.7492942839987,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1989,16.0571909914629,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1990,17.0667810007027,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1991,17.4547981612428,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1992,16.7939433917586,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1993,14.9678292386502,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1994,14.8315378667055,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1995,14.0180659651442,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1996,12.768819026019,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1997,12.6064711492187,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1998,13.2357896548033,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1999,13.0007715171454,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2000,8.3057195333068,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2001,8.32097267667621,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2002,8.51000517684848,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2003,8.32877416512145,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2004,7.91098316231374,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2005,7.52726670177951,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2006,7.18676953071771,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2007,6.93455867595786,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2008,6.6873848504052,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2009,6.68974069628809,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2010,6.32485387641069,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2011,6.09169610822215,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2012,5.58268705354932,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2013,5.39271495449472,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2014,5.44695721474421,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2015,5.98042480849816,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2016,6.60641226605787,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2017,6.38966355268118,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2018,6.22570968960033,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2019,6.41072082168314,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2020,7.50848046663348,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2021,7.77187301385002,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2022,8.83154473689041,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2023,8.80792294653033,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2024,9.28279635992211,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
