year,value,source,methodology_flag,provisional_flag
1960,45.881,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1961,45.457,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1962,44.919,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1963,44.237,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1964,43.407,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1965,42.431,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1966,41.329,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1967,40.16,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1968,38.896,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1969,37.646,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1970,36.465,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1971,35.399,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1972,34.444,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1973,33.695,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1974,33.108,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1975,32.73,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1976,32.512,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1977,32.168,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1978,31.528,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1979,31.239,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1980,31.054,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1981,30.808,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1982,30.527,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1983,29.872,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1984,28.978,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1985,28.26,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1986,27.859,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1987,27.505,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1988,27.211,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1989,27.047,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1990,26.899,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1991,26.755,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1992,26.628,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1993,26.486,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1994,25.979,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1995,25.107,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1996,24.305,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1997,23.964,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1998,23.629,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1999,22.886,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2000,22.258,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2001,21.722,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2002,21.352,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2003,20.928,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2004,20.278,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2005,19.579,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
