year,value,source,methodology_flag,provisional_flag
2007,9.44157028198242,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2008,9.78446960449219,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2009,9.16917037963867,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2010,9.37959957122803,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2011,9.56235980987549,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2012,9.54662990570068,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2013,10.2591695785522,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2014,10.7274503707886,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2015,10.5640296936035,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2016,11.2939901351929,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2018,12.3359899520874,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2019,12.6854696273804,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2020,13.5364999771118,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2022,16.5422571814737,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2023,16.9652337699469,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2024,17.9407901763916,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
