year,value,source,methodology_flag,provisional_flag
2002,69.5,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2003,69.9,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2004,71.4565124511719,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2005,72.1646728515625,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2006,69.8536987304688,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2007,71.5174865722656,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2008,72.0920333862305,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2009,72.0160522460938,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2010,72.5077819824219,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2011,73.3087463378906,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2012,73.8901519775391,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2013,75.0365295410156,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2014,76.0926818847656,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2015,76.388427734375,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2016,77.7140426635742,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2017,77.6,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2018,79.3738174438477,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2019,80.5773315429688,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2020,81.9578399658203,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2021,81.7,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2022,82.4,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2023,82.8,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2024,83.6072311401367,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
