year,value,source,methodology_flag,provisional_flag
2002,31.9,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2003,33,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2004,34.8947715759277,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2005,33.6241416931152,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2006,32.2699394226074,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2007,36.5652694702148,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2008,38.0858688354492,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2009,38.0641899108887,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2010,39.4336204528809,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2011,40.6620712280273,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2012,41.8008995056152,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2013,43.9437103271484,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2014,45.3095588684082,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2015,46.1377410888672,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2016,48.1970100402832,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2017,48.8,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2018,50.9783515930176,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2019,52.4777908325195,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2020,54.2352714538574,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2021,55.1,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2022,57.3,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2023,58.1,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2024,58.9675407409668,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
