year,value,source,methodology_flag,provisional_flag
1990,53.361,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1991,53.067,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1992,53.091,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1993,53.321,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1994,53.647,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1995,53.957,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1996,53.923,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1997,54.144,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1998,54.012,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1999,53.21,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2000,53.39,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2001,53.393,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2002,52.356,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2003,53.712,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2004,52.953,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2005,51.148,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2006,50.562,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2007,49.981,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2008,50.37,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2009,53.922,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2010,54.415,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2011,54.946,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2012,56.011,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2013,55.303,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2014,55.002,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2015,55.255,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2016,54.719,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2017,54.343,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2018,53.244,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2019,52.398,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2020,51.108,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2021,51.679,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2022,50.922,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2023,51.833,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2024,51.719,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2025,51.624,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
