year,value,source,methodology_flag,provisional_flag
1960,-49115,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1961,-47849,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1962,-50108,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1963,-52631,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1964,-53972,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1965,-51855,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1966,-59395,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1967,-57256,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1968,-61442,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1969,-64238,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1970,-66065,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1971,-84712,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1972,-77708,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1973,-75630,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1974,-80816,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1975,-84462,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1976,-98057,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1977,-67638,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1978,-67870,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1979,-63657,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1980,-44203,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1981,-50351,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1982,-37090,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1983,-13329,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1984,-18692,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1985,-21408,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1986,-42368,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1987,-36040,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1988,-25064,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1989,-21329,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1990,-7590,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1991,-48458,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1992,-15147,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1993,-30103,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1994,-16023,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1995,-33097,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1996,-28251,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1997,-23600,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1998,-8186,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1999,-22698,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2000,-27878,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2001,-28582,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2002,-24387,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2003,-33114,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2004,-25949,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2005,-41465,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2006,-39303,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2007,-49634,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2008,-63313,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2009,-46901,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2010,-34220,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2011,-46385,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2012,-56070,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2013,-64789,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2014,-67522,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2015,-41123,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2016,104373,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2017,431072,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2018,495524,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2019,396826,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2020,227130,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2021,199070,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2022,183180,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2023,154521,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2024,141643,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2025,129139,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
