year,value,source,methodology_flag,provisional_flag
1960,7835000,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1961,8076710,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1962,8325531,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1963,8579503,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1964,8837613,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1965,9099527,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1966,9362217,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1967,9624494,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1968,9886050,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1969,10144899,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1970,10401478,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1971,10652164,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1972,10899796,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1973,11150447,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1974,11402522,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1975,11656362,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1976,11911877,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1977,12177858,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1978,12455362,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1979,12737740,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1980,13032452,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1981,13337462,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1982,13650754,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1983,13976709,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1984,14305744,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
