year,value,source,methodology_flag,provisional_flag
1960,15606209,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1961,16095203,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1962,16599029,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1963,17113823,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1964,17637411,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1965,18169050,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1966,18702688,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1967,19235618,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1968,19766796,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1969,20291942,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1970,20811782,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1971,21319096,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1972,21819563,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1973,22325374,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1974,22833469,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1975,23344644,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1976,23858810,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1977,24393494,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1978,24950337,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1979,25515626,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1980,26104498,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1981,26713267,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1982,27338331,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1983,27988173,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1984,28642690,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1985,29268470,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1986,29879112,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1987,30499467,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1988,31130524,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1989,31776279,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1990,32440069,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1991,33098372,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1992,33760571,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1993,34441473,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1994,35127410,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1995,35804662,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1996,36462745,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1997,37121149,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1998,37792165,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1999,38454863,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2000,39089934,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2001,39709262,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2002,40324680,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2003,40937429,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2004,41543171,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2005,42128977,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2006,42691084,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2007,43235374,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2008,43758808,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2009,44271541,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2010,44777319,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2011,45259614,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2012,45715810,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2013,46151584,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2014,46565429,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2015,46969940,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2016,47437512,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2017,48131078,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2018,49024465,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2019,49907985,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2020,50629997,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2021,51188173,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2022,51737944,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2023,52321152,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2024,52886363,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
