year,value,source,methodology_flag,provisional_flag
1960,6.735,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1961,6.712,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1962,6.663,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1963,6.584,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1964,6.475,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1965,6.333,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1966,6.159,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1967,5.957,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1968,5.737,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1969,5.506,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1970,5.276,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1971,5.057,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1972,4.857,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1973,4.68,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1974,4.527,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1975,4.398,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1976,4.285,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1977,4.163,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1978,3.998,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1979,3.888,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1980,3.798,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1981,3.706,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1982,3.618,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1983,3.501,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1984,3.35,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1985,3.225,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1986,3.147,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1987,3.087,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1988,3.039,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1989,3.012,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1990,2.995,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1991,2.982,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1992,2.983,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1993,2.978,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1994,2.937,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1995,2.85,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1996,2.768,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1997,2.743,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1998,2.717,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1999,2.637,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2000,2.574,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2001,2.522,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2002,2.489,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
2003,2.45,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
