year,value,source,methodology_flag,provisional_flag
1960,48.1420447606249,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1961,49.0956195097112,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1962,50.0509092076619,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1963,51.0078643714204,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1964,51.9658998362126,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1965,52.9531446187154,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1966,53.9860976982893,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1967,55.044735269508,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1968,56.1084404029467,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1969,57.1565961691806,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1970,58.168585638785,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1971,59.1237918823351,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1972,60.0015979704063,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1973,60.7765931451242,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1974,61.4612020415864,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1975,62.0902987085223,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1976,62.6781287629113,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1977,63.2305589125476,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
