year,value,source,methodology_flag,provisional_flag
1991,21.3071799192385,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1992,20.0572962315692,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1993,18.7677366834391,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1994,17.6079551252667,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1995,17.7560744177626,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1996,17.4648177414436,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1997,17.1297719580307,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1998,16.7117133948626,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
1999,16.29341840016,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2000,16.9473800197017,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2001,16.5681219836737,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2002,16.8431368385023,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2003,16.1131985106867,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2004,15.76909311585,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2005,16.1346387185679,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2006,14.877073636804,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2007,14.0879955694065,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2008,13.1788536589847,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2009,12.943871890326,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2010,14.6028596675712,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2011,14.2323506995738,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2012,13.6210308666479,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2013,13.1349606903709,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2014,14.7115098864733,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2015,15.7903242934085,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2016,15.7151904851901,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2017,15.3615402805872,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2018,15.7834333419824,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2019,15.3081432648276,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2020,16.5444966099046,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2021,15.204605328826,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2022,13.4060390069661,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2023,13.4111451573441,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2024,11.7739359228441,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
2025,11.4892745659806,"World Bank WDI [SL.AGR.EMPL.ZS], lastupdated 2026-04-08",,
