year,value,source,methodology_flag,provisional_flag
1960,26.3520345148027,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1961,25.8662417279319,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1962,25.8268969024168,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1963,24.4638946637807,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1964,24.5690344693715,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1965,23.5204264467137,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1966,23.1811409001558,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1967,23.2007591186526,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1968,23.2781325858375,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1969,23.1499651097207,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1970,22.5197340032105,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1971,20.4245489880012,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1972,20.0942087197838,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1973,20.2275051146628,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1974,19.4193271595097,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1975,20.3384788708953,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1976,20.3761922265859,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1977,21.8854801027979,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1978,20.4137262893122,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1979,18.5014049368836,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1980,17.804639136257,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1981,23.0190514369806,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1982,24.4947189136394,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1983,21.997463538364,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1984,21.2079069559152,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1985,18.8666318377444,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1986,20.8977395912796,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1987,18.0706377528965,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1988,17.9486468341879,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1989,17.2203938525142,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1990,15.78742116015,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1991,11.9445569900871,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1992,11.9001491093974,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1993,11.8282300115977,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1994,12.3199679785456,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1995,12.7581274501947,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1996,12.1024964084453,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1997,12.5030913360301,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1998,12.618968848322,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1999,11.1096929634483,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2000,9.24882318534345,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2001,8.37953627007384,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2002,8.42775029018437,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2003,8.84007800871514,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2004,8.85240876800238,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2005,8.62223694626727,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2006,8.42982819706634,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2007,7.91531104342903,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2008,6.97696046934205,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2009,7.04962970066208,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2010,6.48518940835947,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2011,5.59987212230861,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2012,5.13084191429059,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2013,4.78335093294853,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2014,4.88788378983139,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2015,4.74911042904841,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2016,4.9143557868633,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2017,4.69977633159901,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2018,4.48382833722173,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2019,4.20205116302465,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2020,4.34422556035497,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2021,4.36671325937127,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2022,4.14007362090085,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2023,3.80047657288839,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
2024,3.56242614167823,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
