year,value,source,methodology_flag,provisional_flag
1960,45.467,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1961,44.808,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1962,43.885,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1963,42.725,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1964,41.379,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1965,39.898,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1966,38.333,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1967,36.756,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1968,34.62,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1969,33.775,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1970,32.592,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1971,31.583,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1972,30.704,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1973,30.067,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1974,29.893,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1975,29.786,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1976,29.893,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1977,30.038,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1978,30.209,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1979,30.538,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1980,30.364,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1981,30.416,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1982,30.485,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1983,30.517,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1984,30.52,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1985,30.417,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1986,29.846,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1987,29.111,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1988,28.327,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1989,27.463,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1990,26.653,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1991,25.702,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1992,24.958,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1993,24.274,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1994,23.638,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1995,22.977,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1996,22.189,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1997,21.481,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1998,21.041,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
1999,20.736,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2000,20.237,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2001,19.408,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2002,18.188,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2003,17.572,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2004,17.136,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2005,17.253,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2006,16.429,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2007,16.604,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2008,16.806,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2009,16.525,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2010,15.407,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2011,15.759,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2012,15.461,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2013,14.77,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2014,14.848,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2015,14.704,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2016,14.184,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2017,13.812,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2018,13.622,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2019,12.661,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2020,11.366,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2021,10.543,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2022,10.319,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2023,10.179,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
2024,9.991,"World Bank WDI [SP.DYN.CBRT.IN], lastupdated 2026-04-08",,
