year,value,source,methodology_flag,provisional_flag
2001,9.81485077041794,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2002,9.866226080152,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2003,10.0701536441283,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2004,10.4971855138086,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2005,11.3717349516648,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2006,12.5755927017735,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2007,12.5185938139857,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2014,22.7161693572998,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2015,21.8670692443848,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2016,21.3582191467285,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2018,22.3582496643066,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2020,22.5288105010986,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
2024,17.6886692047119,"World Bank WDI [SE.TER.CUAT.BA.FE.ZS], lastupdated 2026-04-08",,
