year,value,source,methodology_flag,provisional_flag
1973,34.1614608764648,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2001,73.2964926692056,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2002,73.5,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2003,75.3,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2004,75.6,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2005,77.4,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2006,76.5,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2007,76.8176727294922,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2008,78.6316223144531,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2009,78.9334030151367,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2010,79.12890625,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2011,79.7857971191406,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2012,80.1829605102539,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2013,80.8,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2014,81.3937911987305,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2015,81.4093627929688,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2016,81.0343322753906,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2017,81.5,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2018,82.1348190307617,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2019,82.8,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2020,83.077392578125,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2021,83.8,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2022,83.8,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2023,84.7,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2024,85.7066192626953,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
