year,value,source,methodology_flag,provisional_flag
1973,9.953200340271,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2001,28.4077365394668,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2002,29.4,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2003,30.3,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2004,29.8,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2005,31.2,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2006,32,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2007,33.7910614013672,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2008,36.3915214538574,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2009,36.9481887817383,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2010,36.0239105224609,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2011,37.0317306518555,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2012,38.0847396850586,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2013,36.8,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2014,40.528938293457,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2015,38.9016494750977,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2016,39.2197189331055,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2017,37.6,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2018,40.7606315612793,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2019,39.2,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2020,42.1980209350586,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2021,41.5,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2022,42.3,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2023,43.2,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2024,44.3765106201172,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
