year,value,source,methodology_flag,provisional_flag
1990,32.866,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1991,33.325,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1992,32.6,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1993,33.52,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1994,34.664,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1995,35.575,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1996,34.067,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1997,37.121,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1998,39.443,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
1999,39.936,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2000,38.642,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2001,41.564,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2002,41.143,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2003,41.454,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2004,39.832,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2005,43.679,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2006,43.309,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2007,44.3,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2008,44.444,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2009,44.827,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2010,44.113,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2011,46.479,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2012,51.437,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2013,51.249,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2014,51.34,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2015,50.06,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2016,46.018,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2017,45.905,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2018,48.659,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2019,52.726,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2020,48.644,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2021,50.251,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2022,50.283,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2023,44.088,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2024,45.982,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
2025,46.017,"World Bank WDI [SL.TLF.CACT.FE.ZS], lastupdated 2026-04-08",,
