year,value,source,methodology_flag,provisional_flag
1960,910,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1961,924,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1962,934,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1963,938,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1964,934,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1965,932,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1966,930,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1967,926,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1968,939,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1969,1017,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1970,1137,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1971,1296,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1972,1366,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1973,1468,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1974,1839,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1975,1992,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1976,2129,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1977,2228,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1978,2296,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1979,2349,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1980,2387,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1981,2431,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1982,2453,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1983,2449,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1984,2402,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1985,2357,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1986,2302,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1987,2267,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1988,2414,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1989,3758,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1990,7949,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1991,10757,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1992,13069,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1993,14431,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1994,15587,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1995,16609,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1996,17393,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1997,16954,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1998,15556,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
1999,13253,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2000,8826,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2001,7119,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2002,5812,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2003,5216,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2004,4856,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2005,4567,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2006,4321,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2007,4080,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2008,3794,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2009,3432,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2010,2357,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2011,1695,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2012,1587,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2013,1579,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2014,1589,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2015,1617,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2016,1649,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2017,1671,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2018,1673,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2019,1653,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2020,1029,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2021,1018,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2022,1006,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2023,995,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2024,967,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
2025,1000,"World Bank WDI [SM.POP.NETM], lastupdated 2026-04-08",,
