year,value,source,methodology_flag,provisional_flag
1960,660386,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1961,685352,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1962,710864,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1963,736716,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1964,762677,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1965,788576,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1966,814308,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1967,839812,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1968,864714,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1969,889294,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1970,913979,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1971,938659,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1972,963412,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1973,988374,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1974,1013996,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1975,1040572,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1976,1068197,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1977,1096955,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1978,1126862,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1979,1158020,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1980,1190216,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1981,1223294,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1982,1257396,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1983,1292508,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1984,1328620,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1985,1365634,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1986,1403139,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1987,1440738,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1988,1478323,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1989,1516180,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1990,1555537,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1991,1596738,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1992,1639155,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1993,1682414,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1994,1726153,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1995,1770291,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1996,1814499,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1997,1858218,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1998,1901062,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
1999,1942709,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2000,1982049,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2001,2018738,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2002,2052991,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2003,2085291,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2004,2116712,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2005,2148060,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2006,2178888,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2007,2209164,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2008,2239874,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2009,2270502,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2010,2299273,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
2011,2326763,"World Bank WDI [SP.POP.TOTL.FE.IN], lastupdated 2026-04-08",,
