year,value,source,methodology_flag,provisional_flag
1960,1327496,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1961,1377920,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1962,1429445,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1963,1481604,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1964,1533960,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1965,1586208,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1966,1638116,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1967,1689523,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1968,1739731,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1969,1789276,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1970,1838949,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1971,1888539,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1972,1938248,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1973,1988343,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1974,2039643,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1975,2092719,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1976,2147774,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1977,2205025,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1978,2264510,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1979,2326490,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1980,2390633,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1981,2456637,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1982,2524806,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1983,2595153,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1984,2667595,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1985,2741894,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1986,2817216,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1987,2892699,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1988,2968103,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1989,3043827,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1990,3121706,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1991,3202176,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1992,3284258,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1993,3367434,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1994,3451122,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1995,3535176,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1996,3619013,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1997,3701711,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1998,3782838,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
1999,3862101,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2000,3937739,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2001,4008947,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2002,4075705,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2003,4138784,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2004,4200078,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2005,4261240,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2006,4321340,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2007,4380248,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2008,4440056,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2009,4499791,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2010,4555962,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2011,4609833,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2012,4663934,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2013,4716147,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2014,4767119,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2015,4818038,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2016,4866998,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2017,4913177,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2018,4957818,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2019,4999553,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2020,5034320,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2021,5059988,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2022,5081765,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2023,5105525,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
2024,5129910,"World Bank WDI [SP.POP.TOTL], lastupdated 2026-04-08",,
