year,value,source,methodology_flag,provisional_flag
1960,6.712,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1961,6.651,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1962,6.543,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1963,6.389,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1964,6.193,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1965,5.96,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1966,5.697,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1967,5.416,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1968,5.028,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1969,4.835,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1970,4.585,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1971,4.362,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1972,4.158,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1973,3.991,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1974,3.893,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1975,3.804,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1976,3.747,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1977,3.701,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1978,3.662,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1979,3.651,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1980,3.583,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1981,3.556,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1982,3.54,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1983,3.525,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1984,3.519,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1985,3.511,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
1986,3.454,"World Bank WDI [SP.DYN.TFRT.IN], lastupdated 2026-04-08",,
