year,value,source,methodology_flag,provisional_flag
1960,34.1050281949645,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1961,34.2224764057798,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1962,34.3486288437322,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1963,34.4892636783508,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1964,34.7554550996129,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1965,35.2068749817777,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1966,35.800326964344,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1967,36.4968927519451,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1968,37.2576540492145,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1969,38.0436925607855,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1970,38.8160899912916,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1971,39.5359280453661,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1972,40.1642884276424,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1973,40.6645274867642,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1974,41.0688201290256,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1975,41.4266278553563,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1976,41.7478904491862,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1977,42.0439599936293,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1978,42.3261885717999,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1979,42.6059282668122,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1980,42.8945311617803,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1981,43.2033493398183,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1982,43.5437348840406,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1983,43.9270398775612,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1984,44.3652296687604,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1985,44.8730350473926,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1986,45.4678195748098,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1987,46.1428726478186,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1988,46.8912120210327,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1989,47.7058554490659,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1990,48.5798206865317,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1991,49.5061254880439,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1992,50.4777876082162,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1993,51.4878248016624,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1994,52.529254822996,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1995,53.5950954268308,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1996,54.6783643677805,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1997,55.7720794004588,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1998,56.8692582794794,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
1999,57.962918759456,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2000,59.0462378975394,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2001,60.1427600448608,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2002,61.2787633575946,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2003,62.4518059303802,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2004,63.6596013546005,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2005,64.8998632216384,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2006,66.1703051228767,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2007,67.4686406496983,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2008,68.7925833934861,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2009,70.1398469456228,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2010,71.5081448974915,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2011,72.8426586679914,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2012,73.3895020668217,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2013,73.9431776192863,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2014,74.4866963181212,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2015,75.0198195767549,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2016,75.5423088085047,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2017,76.0539254265608,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2018,76.5544308439668,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2019,77.0435864735963,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2020,77.5211537281257,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2021,77.9868940200009,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2022,78.4405687613972,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2023,78.8819393641702,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
2024,79.3107672397967,"World Bank WDI [SP.URB.TOTL.IN.ZS], lastupdated 2026-04-08",,
