year,value,source,methodology_flag,provisional_flag
1965,13.1492307692308,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1966,12.0930592105263,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1967,11.746234939759,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1968,10.9207901907357,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1969,10.447684729064,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1970,12.1205630630631,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1971,12.0029591836735,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1972,10.9473451327434,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1973,11.5307380607815,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1974,11.4785555555556,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1975,11.1387545454545,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1976,10.617928519329,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1977,10.5159707950243,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1978,10.2694822421908,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1979,9.18270860495437,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1980,6.31871398387393,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1981,6.35981539364346,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1982,5.37348336021189,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1983,5.93524864587753,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1984,6.4220113089397,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1985,6.53972544325482,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1986,6.80768493803202,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1987,6.41647220501225,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1988,6.47809392465106,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1989,6.45259844953101,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1990,6.66709637889891,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1991,6.49698974856723,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1992,5.99898080999225,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1993,4.79415018964099,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
1994,4.36384871230824,"World Bank WDI [NV.AGR.TOTL.ZS], lastupdated 2026-04-08",,
